pool_id,location,sample_type,sampling_date,order,family,genus,species,description,location_pool_id
North Campus Open Space - 1,NA,FB250,3-May-19,Cladocera,Daphniidae,Daphnia,pulex,NA,North Campus Open Space - 1
North Campus Open Space - 1,NA,FB250,3-May-19,Cladocera,Chydoridae,Alona,NA,NA,North Campus Open Space - 1
North Campus Open Space - 1,NA,FB250,3-May-19,Cladocera,Daphniidae,Ceriodaphnia,NA,NA,North Campus Open Space - 1
North Campus Open Space - 1,NA,FB250,3-May-19,Cladocera,Bosminidae,NA,NA,NA,North Campus Open Space - 1
North Campus Open Space - 1,NA,FB250,3-May-19,Cladocera,Macrothricidae,Echinisca,NA,NA,North Campus Open Space - 1
North Campus Open Space - 1,NA,FB250,3-May-19,Cladocera,Daphniidae,Simocephalus,vetulus,NA,North Campus Open Space - 1
North Campus Open Space - 1,NA,FB250,3-May-19,Cladocera,Daphniidae,Daphnia,ambigua,NA,North Campus Open Space - 1
Santa Rosa,Manzanita Village,CORE,2-May-19,Cladocera,Daphniidae,Ceriodaphnia,NA,NA,Manzanita Village - Santa Rosa
4,North Campus Open Space,FB250,1-May-19,Cladocera,Daphniidae,Ceriodaphnia,NA,NA,North Campus Open Space - 4
4,North Campus Open Space,FB250,1-May-19,Cladocera,Daphniidae,Daphnia,NA,NA,North Campus Open Space - 4
6,South Parcel,FB250,1-May-19,Cladocera,Daphniidae,Daphnia,pulex,NA,South Parcel - 6
6,South Parcel,FB250,1-May-19,Cladocera,Daphniidae,Ceriodaphnia,NA,NA,South Parcel - 6
6,South Parcel,FB250,1-May-19,Cladocera,Chydoridae,Alona,NA,NA,South Parcel - 6
2,North Campus Open Space,FB250,1-May-19,Cladocera,Daphniidae,Daphnia,pulex,NA,North Campus Open Space - 2
14,North Parcel,FB250,17-Apr-19,Cladocera,Daphniidae,Ceriodaphnia,NA,NA,North Parcel - 14
14,North Parcel,FB250,17-Apr-19,Cladocera,Daphniidae,Daphnia,NA,NA,North Parcel - 14
14,North Parcel,FB250,17-Apr-19,Cladocera,Macrothricidae,NA,NA,NA,North Parcel - 14
14,North Parcel,FB250,17-Apr-19,Cladocera,Chydoridae,NA,NA,NA,North Parcel - 14
North Campus Open Space - 1,NA,FB250,8-Apr-19,Cladocera,Macrothricidae,Echinisca,NA,NA,North Campus Open Space - 1
North Campus Open Space - 1,NA,FB250,8-Apr-19,Cladocera,Daphniidae,Daphnia,NA,NA,North Campus Open Space - 1
North Campus Open Space - 1,NA,FB250,8-Apr-19,Cladocera,Chydoridae,NA,NA,NA,North Campus Open Space - 1
North Campus Open Space - 1,NA,FB250,8-Apr-19,Cladocera,Daphniidae,Ceriodaphnia,NA,NA,North Campus Open Space - 1
North Campus Open Space - 1,NA,FB250,8-Apr-19,Cladocera,Daphniidae,Simocephalus,vetulus,NA,North Campus Open Space - 1
Del Sol/Camino Corto - N,Del Sol/Camino Corto,FB250,27-Jan-19,Cladocera,Moinidae,Moina,NA,NA,Del Sol/Camino Corto - Del Sol/Camino Corto - N
Del Sol/Camino Corto - N,NA,FB250,27-Jan-19,Cladocera,Chydoridae,NA,NA,NA,Del Sol/Camino Corto - N
Del Sol/Camino Corto - N,NA,FB250,27-Jan-19,Cladocera,Macrothricidae,Echinisca,NA,NA,Del Sol/Camino Corto - N
Del Sol/Camino Corto - N,NA,FB250,27-Jan-19,Cladocera,Daphniidae,Ceriodaphnia,NA,NA,Del Sol/Camino Corto - N
Del Sol/Camino Corto - N,NA,FB250,27-Jan-19,Cladocera,Daphniidae,Scapholeberis,mucronata,NA,Del Sol/Camino Corto - N
6,West Campus,FB250,27-Jan-19,Cladocera,Moinidae,Moina,macrocopa,NA,West Campus - 6
6,West Campus,FB250,27-Jan-19,Cladocera,Macrothricidae,Echinisca,NA,NA,West Campus - 6
North Campus Open Space - 1,NA,FB250,28-Jan-19,Cladocera,Macrothricidae,Echinisca,NA,NA,North Campus Open Space - 1
North Campus Open Space - 1,NA,FB250,28-Jan-19,Cladocera,Daphniidae,Ceriodaphnia,NA,NA,North Campus Open Space - 1
North Campus Open Space - 1,NA,FB250,28-Jan-19,Cladocera,Moinidae,Moina,NA,NA,North Campus Open Space - 1
North Campus Open Space - 1,NA,FB250,28-Jan-19,Cladocera,Daphniidae,Daphnia,NA,NA,North Campus Open Space - 1
