objectid,location,pool_id,notes,gps_date,gps_time,acres,global_id,shape_area,shape_length,area
1,west_campus,10,NA,3/15/19 8:00,10:24:17,0.024350525,a8368ed1-1dc7-4f34-947a-5c5c34eb8274,1060.708984,132.5517435,98.54318457
2,west_campus,11,NA,3/15/19 8:00,10:26:12,0.025981233,569f99d6-ba51-4ada-a0c3-cc2894f69321,1131.737305,130.9878623,105.1419378
3,west_campus,8,NA,3/15/19 8:00,10:33:04,0.028338723,008f5b86-2120-48e1-b632-0dc538c0deef,1234.432617,133.9774633,114.6826538
4,west_campus,9,NA,3/15/19 8:00,10:34:35,0.061017773,9e4c5bde-b1bd-42f0-b620-29d8b25cfd39,3681.071289,338.1546339,341.9830442
5,west_campus,6,NA,3/15/19 8:00,10:45:43,0.058682452,692ceff7-914c-4f6a-8110-e1c34b7249bb,2556.196289,189.3693983,237.4786359
6,west_campus,7,NA,3/15/19 8:00,10:47:32,0.092130932,b6782934-58a2-4a3d-9635-3e9d7a0a064e,4013.205078,392.5298579,372.8393127
7,west_campus,4,NA,3/15/19 8:00,10:52:38,0.251487344,db246037-d46a-4712-9479-0d76960d38ef,10954.75195,559.4540145,1017.730744
8,west_campus,5,NA,3/15/19 8:00,10:56:04,0.012109081,7649c2d4-d83a-455f-b36f-95146d21189b,527.46875,93.2807045,49.0034978
9,west_campus,1,NA,3/15/19 8:00,11:00:50,0.207232122,c5c27042-3537-4805-9647-1d919ed2c207,9026.999023,474.3236128,838.6364629
10,west_campus,2,NA,3/15/19 8:00,11:05:11,0.251121605,b80f7f32-1a25-4acc-ab69-8781752c23f2,10938.8291,512.915216,1016.251461
11,west_campus,3,NA,3/15/19 8:00,11:09:34,0.074946255,c39d211f-af9a-4442-8a4b-74e5539cf107,3264.652344,221.1912808,303.2964208
12,north_parcel,8,NA,3/18/19 8:00,14:34:37,0.071953973,3c972328-5952-40eb-83a4-c31b53472f19,3134.300781,247.8137472,291.1863526
13,north_parcel,7,NA,3/18/19 8:00,14:38:03,0.085692784,75178e2f-b604-40ab-af01-130a27c8a97e,3732.765625,231.6984823,346.7856098
