date,location_pool_id,water_year,water_level_in
2019-01-11,North Campus Open Space - 9,2019,6
2019-01-11,North Campus Open Space - 8,2019,13.25
2019-01-11,North Campus Open Space - 7,2019,15
2019-01-11,North Campus Open Space - 6,2019,16
2019-01-11,North Campus Open Space - 5,2019,15.5
2019-01-11,North Campus Open Space - 4,2019,15.75
2019-01-11,North Campus Open Space - 3,2019,10.75
2019-01-11,North Campus Open Space - 2,2019,17.5
2019-01-11,North Campus Open Space - 1,2019,15.75
2019-01-17,West Campus - 1,2019,9.5
2019-01-17,West Campus - 13,2019,8
2019-01-17,West Campus - 11,2019,7
2019-01-17,West Campus - 10,2019,8.75
2019-01-17,West Campus - 9,2019,8
2019-01-17,West Campus - 8,2019,8
2019-01-17,West Campus - 7,2019,2.5
2019-01-17,West Campus - 6,2019,13
2019-01-17,West Campus - 5,2019,7
2019-01-17,West Campus - 4,2019,10
2019-01-17,West Campus - 2,2019,6
2019-01-17,West Campus - 3,2019,2.5
2019-01-17,North Campus Open Space - 9,2019,8
2019-01-17,North Campus Open Space - 8,2019,15.75
2019-01-17,North Campus Open Space - 7,2019,17.5
2019-01-17,North Campus Open Space - 6,2019,18
2019-01-17,North Campus Open Space - 5,2019,17.75
2019-01-17,North Campus Open Space - 4,2019,17.5
2019-01-17,North Campus Open Space - 3,2019,13.5
2019-01-17,North Campus Open Space - 2,2019,18
2019-01-17,North Campus Open Space - 1,2019,18
2019-01-25,South Parcel - 3,2019,13.25
2019-01-25,West Campus - 5,2019,0
2019-01-25,West Campus - 4,2019,8
2019-01-25,West Campus - 2,2019,4.375
2019-01-25,West Campus - 3,2019,0
2019-01-25,West Campus - 1,2019,7
2019-01-25,Storke Ranch - 2007,2019,9
2019-01-25,Storke Ranch - North,2019,9.75
2019-01-25,Storke Ranch - South,2019,8.75
2019-01-25,Storke Ranch - 2017,2019,9.25
2019-01-25,Storke Ranch - East,2019,5
2019-01-25,Storke Ranch - Main,2019,10.25
2019-01-25,North Campus Open Space - 9,2019,0
2019-01-25,North Campus Open Space - 8,2019,12
2019-01-25,North Campus Open Space - 7,2019,11.5
2019-01-25,North Campus Open Space - 6,2019,11.5
2019-01-25,North Campus Open Space - 5,2019,11.75
2019-01-25,North Campus Open Space - 4,2019,15.5
2019-01-25,North Campus Open Space - 3,2019,8.5
2019-01-25,North Campus Open Space - 2,2019,18
2019-01-25,North Campus Open Space - 1,2019,18
2019-01-25,South Parcel - SWW 1,2019,0
2019-01-25,South Parcel - 9,2019,5
2019-01-25,South Parcel - 8,2019,0
2019-01-25,South Parcel - 7,2019,12.5
2019-01-25,South Parcel - 6,2019,10
2019-01-25,South Parcel - 5,2019,18.75
2019-01-25,South Parcel - 4,2019,10.5
2019-01-25,South Parcel - 1,2019,7.5
2019-01-25,South Parcel - 2,2019,12.75
2019-01-30,Manzanita Village - San Miguel,2019,6.5
2019-01-30,Manzanita Village - Santa Rosa,2019,5
2019-01-30,Manzanita Village - Santa Cruz,2019,1
2019-01-30,Manzanita Village - Anacapa West,2019,4.75
2019-01-30,Manzanita Village - Anacapa East,2019,7
2019-01-30,Manzanita Village - Santa Barbara,2019,7
2019-01-30,Manzanita Village - Santa Catalina,2019,8.5
2019-01-30,Manzanita Village - Chumash,2019,8
2019-01-30,Manzanita Village - Manzanita Lake,2019,14.5
2019-01-30,Coal Oil Point - 11,2019,2.75
2019-01-30,Coal Oil Point - 10,2019,4.25
2019-01-30,Coal Oil Point - 9,2019,4.625
2019-01-30,Coal Oil Point - 13,2019,0
2019-01-30,Coal Oil Point - 8,2019,0
2019-01-30,West Campus - 7,2019,0
2019-01-30,West Campus - 6,2019,10
2019-01-30,Storke Ranch - Main,2019,5.25
2019-01-30,Storke Ranch - East,2019,3.25
2019-01-30,Storke Ranch - 2017,2019,7
2019-01-30,Storke Ranch - South,2019,6.75
2019-01-30,Storke Ranch - North,2019,8.75
2019-01-30,Storke Ranch - 2007,2019,6.75
2019-01-18,North Campus Open Space - 9,2019,7
2019-01-13,Storke Ranch - Main,2019,18
2019-01-13,Storke Ranch - East,2019,8
2019-01-14,Storke Ranch - 2017,2019,12
2019-01-14,Storke Ranch - South,2019,11.5
2019-01-14,Storke Ranch - North,2019,11.5
2019-01-14,Storke Ranch - 2007,2019,11
2019-01-14,Del Sol/Camino Corto - N,2019,2.75
2019-01-14,Del Sol/Camino Corto - V,2019,2.25
2019-01-14,Del Sol/Camino Corto - U,2019,4
2019-01-14,Del Sol/Camino Corto - T,2019,2.5
2019-01-14,Del Sol/Camino Corto - G,2019,4.5
2019-01-14,Del Sol/Camino Corto - W,2019,7
2019-01-14,Del Sol/Camino Corto - F,2019,2.75
2019-01-14,Del Sol/Camino Corto - S,2019,3
2019-01-14,Del Sol/Camino Corto - E,2019,4.75
2019-01-14,Del Sol/Camino Corto - H,2019,2.5
2019-01-14,Del Sol/Camino Corto - M,2019,5
2019-01-14,Del Sol/Camino Corto - 7,2019,6
2019-01-14,Del Sol/Camino Corto - 6,2019,5
2019-01-14,Del Sol/Camino Corto - 2,2019,5.75
2019-01-14,Del Sol/Camino Corto - 8,2019,2.75
2019-01-14,Del Sol/Camino Corto - 3,2019,5.25
2019-01-14,Del Sol/Camino Corto - 4,2019,4
2019-01-14,Del Sol/Camino Corto - 5,2019,4
2019-01-31,Del Sol/Camino Corto - 7,2019,9
2019-01-31,Del Sol/Camino Corto - 5,2019,6.75
2019-01-31,Del Sol/Camino Corto - 4,2019,6.5
2019-01-31,Del Sol/Camino Corto - 8,2019,5.25
2019-01-31,Del Sol/Camino Corto - 3,2019,8.25
2019-01-31,Del Sol/Camino Corto - 2,2019,10.5
2019-01-31,Del Sol/Camino Corto - 6,2019,9
