object_id,global_id,parent_global_id,monitoring_date,location,pool_id,transect_axis,total_transect_length,transect_notes,transect_distance_of_quadrat,side_of_transect_left_or_right,vegetation_zone,quadrat_notes,percent_bare_ground,percent_thatch,count_of_native_species_automatically_calculated,sum_of_native_cover_automatically_calculated,count_of_non_native_species_automatically_calculated,sum_of_non_native_cover_automatically_calculated,count_of_unknown_species_automatically_calculated,sum_of_unknown_cover_automatically_calculated,sum_of_all_cover_automatically_calculated,type,species,unlisted_species,other_cover_notes,percent_cover,location_pool_id,transect_axia,spp_cal_flora
2779,f3475219-dbe3-4ecb-a6f0-da2c057df3ab,48b6801c-8e8b-4570-b69f-6c3eec8ece5e,2019-05-24,Del Sol/Camino Corto,2,major,38,Eryngium armatum in other half of “U” as well,0,Right,edge,0,0,99,0,0,8,122,122,0,0,Non-Native,Festuca_perennis,NA,NA,42,Del Sol/Camino Corto - 2,NA,https://www.calflora.org/app/taxon?crn=11691
2780,966a160d-7baa-4485-b09d-546df7d6cf4c,48b6801c-8e8b-4570-b69f-6c3eec8ece5e,2019-05-24,Del Sol/Camino Corto,2,major,38,Eryngium armatum in other half of “U” as well,0,Right,edge,0,0,99,0,0,8,122,122,0,0,Non-Native,Avena_fatua,NA,NA,36,Del Sol/Camino Corto - 2,NA,https://www.calflora.org/app/taxon?crn=1018
2781,59528ce2-2ba9-4200-bdc0-873aca4714d7,48b6801c-8e8b-4570-b69f-6c3eec8ece5e,2019-05-24,Del Sol/Camino Corto,2,major,38,Eryngium armatum in other half of “U” as well,0,Right,edge,0,0,99,0,0,8,122,122,0,0,Non-Native,Vicia_villosa,NA,NA,16,Del Sol/Camino Corto - 2,NA,https://www.calflora.org/app/taxon?crn=8447
2782,6ef8e91c-07da-4341-ad56-547942449ffe,48b6801c-8e8b-4570-b69f-6c3eec8ece5e,2019-05-24,Del Sol/Camino Corto,2,major,38,Eryngium armatum in other half of “U” as well,0,Right,edge,0,0,99,0,0,8,122,122,0,0,Non-Native,Erodium_botrys,NA,NA,20,Del Sol/Camino Corto - 2,NA,https://www.calflora.org/app/taxon?crn=3446
2783,4d08f1ea-ac32-4e39-bc5a-60101cd7ac6f,48b6801c-8e8b-4570-b69f-6c3eec8ece5e,2019-05-24,Del Sol/Camino Corto,2,major,38,Eryngium armatum in other half of “U” as well,0,Right,edge,0,0,99,0,0,8,122,122,0,0,Non-Native,Carduus_pycnocephalus,NA,NA,2,Del Sol/Camino Corto - 2,NA,https://www.calflora.org/app/taxon?crn=1504
2784,f3a042e8-a042-4fc7-927c-a3532ab8c408,48b6801c-8e8b-4570-b69f-6c3eec8ece5e,2019-05-24,Del Sol/Camino Corto,2,major,38,Eryngium armatum in other half of “U” as well,0,Right,edge,0,0,99,0,0,8,122,122,0,0,Non-Native,Hypochaeris_glabra,NA,NA,1,Del Sol/Camino Corto - 2,NA,https://www.calflora.org/app/taxon?crn=4313
2785,fc0760fc-2207-4b74-8cc0-615b4b2eaf66,48b6801c-8e8b-4570-b69f-6c3eec8ece5e,2019-05-24,Del Sol/Camino Corto,2,major,38,Eryngium armatum in other half of “U” as well,0,Right,edge,0,0,99,0,0,8,122,122,0,0,Non-Native,Lysimachia_arvensis,NA,NA,1,Del Sol/Camino Corto - 2,NA,https://www.calflora.org/app/taxon?crn=13206
2786,c9d75289-fc15-4c07-bdbc-8730b353105b,48b6801c-8e8b-4570-b69f-6c3eec8ece5e,2019-05-24,Del Sol/Camino Corto,2,major,38,Eryngium armatum in other half of “U” as well,0,Right,edge,0,0,99,0,0,8,122,122,0,0,Non-Native,Bromus_diandrus,NA,NA,4,Del Sol/Camino Corto - 2,NA,https://www.calflora.org/app/taxon?crn=1200
2773,ab84880b-ff9b-49f4-b674-19b18ebb07c8,c00aa06b-f18a-4980-b3e7-4ad778d2b846,2019-05-24,Del Sol/Camino Corto,2,major,38,Eryngium armatum in other half of “U” as well,2,Left,edge,0,0,99,0,0,6,100,100,0,0,Non-Native,Vicia_villosa,NA,NA,30,Del Sol/Camino Corto - 2,NA,https://www.calflora.org/app/taxon?crn=8447
2774,51201cca-a4a8-44b9-bf4c-8c7c76dfb14c,c00aa06b-f18a-4980-b3e7-4ad778d2b846,2019-05-24,Del Sol/Camino Corto,2,major,38,Eryngium armatum in other half of “U” as well,2,Left,edge,0,0,99,0,0,6,100,100,0,0,Non-Native,Festuca_perennis,NA,NA,62,Del Sol/Camino Corto - 2,NA,https://www.calflora.org/app/taxon?crn=11691
